activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nickel,-0.002928,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrates,0.0284808,kg,Water,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.0011904,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.23712,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrogen Oxides,0.48708,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrous Oxide,0.000492,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrous Oxide,0.001668,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Nitrous Oxide,0.10752,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Non-Methane Volatile Organic Compounds,0.0002064,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Non-Methane Volatile Organic Compounds,0.046776,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Particulate Matter,0.024168,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Penanthene,3.48e-05,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Phosphates,0.0002112,kg,Water,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Scutching Waste,0.312,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Sulfur Dioxide,0.0140376,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Zinc,-0.002448,g,Soil,
Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Zinc,1.392e-05,g,Air,
,,,,,,,,,,,,,,,
"Applied filters:
Country or Region Filter Alias is China
Activity Filter Alias is Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching) or Hemp - scutched hemp fiber - production (hemp cultivation good agricultural practices and scutching)
Material Type Filter Alias is Hemp",,,,,,,,,,,,,,,
